player_name,position,team,assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,shots,xG,xA,key_passes,npg,npxG,xGChain,xGBuildup
Rúben Diogo da Silva Neves,MID,Wolves,0,0,10,1,10.8,0,0,2.5,14.0,2019-08-11,80,0,0,0,0,0,479901,0,0,0.0,2,0,0,0,55,False,1,1,Wolves,3,Leicester,4,4,1230,1180,1200,1200,1190,1230,0,0.0,0.17117922008037567,1,0,0.0,0.2194047719240189,0.04822555556893349
Toby Alderweireld,DEF,Spurs,0,0,17,0,26.5,1,0,5.2,17.6,2019-08-10,90,0,0,0,0,0,436313,1,3,8.0,2,0,0,0,55,True,0,1,Aston Villa,4,Spurs,2,4,1130,1100,1140,1200,1240,1180,2,0.0604679249227047,0.05851650983095169,2,0,0.0604679249227047,0.6856045126914978,0.6270880103111267
Oliver Skipp,MID,Spurs,0,0,3,0,0.1,0,0,0.0,0.0,2019-08-10,1,0,0,0,0,0,25018,1,3,0.0,1,0,0,0,45,True,0,1,Aston Villa,4,Spurs,2,4,1130,1100,1140,1200,1240,1180,0,0.0,0.0,0,0,0.0,0.0,0.0
Moussa Sissoko,MID,Spurs,1,0,13,0,20.3,1,0,8.9,17.8,2019-08-10,90,0,0,0,0,0,84388,1,3,51.0,5,0,0,0,50,True,0,1,Aston Villa,4,Spurs,2,4,1130,1100,1140,1200,1240,1180,4,0.3812357187271118,0.08711989223957063,1,0,0.3812357187271118,0.8177260756492615,0.34937047958374023
Kyle Walker-Peters,DEF,Spurs,0,0,20,0,19.3,1,0,5.4,20.2,2019-08-10,90,0,0,0,0,0,218430,1,3,14.0,2,0,0,0,50,True,0,1,Aston Villa,4,Spurs,2,4,1130,1100,1140,1200,1240,1180,1,0.023991357535123825,0.017339302226901054,1,0,0.023991357535123825,0.3701211810112,0.3527818918228149
Hugo Lloris,GK,Spurs,0,0,13,0,0.0,1,0,2.1,21.4,2019-08-10,90,0,0,0,0,3,514748,1,3,0.0,3,0,0,0,55,True,0,1,Aston Villa,4,Spurs,2,4,1130,1100,1140,1200,1240,1180,0,0.0,0.0,0,0,0.0,0.056358423084020615,0.056358423084020615
Harry Winks,MID,Spurs,0,0,14,0,29.6,1,0,4.1,10.8,2019-08-10,63,0,0,0,0,0,20098,1,3,1.0,2,0,0,0,55,True,0,1,Aston Villa,4,Spurs,2,4,1130,1100,1140,1200,1240,1180,1,0.017271440476179126,0.035564705729484565,2,0,0.017271440476179126,0.6305860280990601,0.6133146286010742
Harry Kane,FWD,Spurs,0,3,50,0,24.1,1,2,18.3,64.2,2019-08-10,90,0,0,0,0,0,1591131,1,3,95.0,13,0,0,0,110,True,0,1,Aston Villa,4,Spurs,2,4,1130,1100,1140,1200,1240,1180,8,0.8326833844184875,0.11237815022468567,2,2,0.8326833844184875,1.483805775642395,0.5387442111968994
Georges-Kévin Nkoudou,MID,Spurs,0,0,3,0,0.0,0,0,1.8,0.0,2019-08-10,2,0,0,0,0,0,0,1,3,18.0,1,0,0,0,50,True,0,1,Aston Villa,4,Spurs,2,4,1130,1100,1140,1200,1240,1180,1,0.056358423084020615,0.0,0,0,0.056358423084020615,0.056358423084020615,0.0
Erik Lamela,MID,Spurs,0,0,15,0,38.3,1,0,8.9,11.6,2019-08-10,87,0,0,0,0,0,37710,1,3,39.0,1,0,0,0,60,True,1,1,Aston Villa,4,Spurs,2,4,1130,1100,1140,1200,1240,1180,4,0.15064209699630735,0.049845322966575616,2,0,0.15064209699630735,0.8996770977973938,0.7634484767913818
Davinson Sánchez,DEF,Spurs,0,0,14,0,11.8,1,0,4.8,15.2,2019-08-10,90,0,0,0,0,0,63856,1,3,21.0,2,0,0,0,55,True,0,1,Aston Villa,4,Spurs,2,4,1130,1100,1140,1200,1240,1180,2,0.5040512084960938,0.03628891706466675,1,0,0.5040512084960938,0.3972543179988861,0.36096540093421936
Danny Rose,DEF,Spurs,0,0,13,0,53.0,1,0,7.0,15.2,2019-08-10,90,0,0,0,0,0,135628,1,3,2.0,2,0,0,0,55,True,0,1,Aston Villa,4,Spurs,2,4,1130,1100,1140,1200,1240,1180,0,0.0,0.3572874665260315,4,0,0.0,0.27945244312286377,0.27945244312286377
Christian Eriksen,MID,Spurs,0,0,10,0,40.8,0,0,7.1,12.6,2019-08-10,26,0,0,0,0,0,370921,1,3,18.0,1,0,0,0,90,True,0,1,Aston Villa,4,Spurs,2,4,1130,1100,1140,1200,1240,1180,3,0.1838916689157486,0.5199683904647827,3,0,0.1838916689157486,0.2178429365158081,0.017339302226901054
Isaac Success Ajayi,FWD,Watford,0,0,1,0,0.0,1,0,0.0,0.0,2019-08-10,15,0,0,0,0,0,47746,3,0,0.0,1,0,0,0,50,True,0,1,Brighton,3,Watford,2,3,1120,1120,1150,1020,1140,1030,0,0.0,0.0,0,0,0.0,0.0,0.0
Jack O'Connell,DEF,Sheffield Utd,0,0,12,0,4.6,1,0,2.0,15.6,2019-08-10,90,0,0,0,0,0,20821,1,1,0.0,2,0,0,0,45,False,0,1,Sheffield Utd,2,Bournemouth,3,3,1180,1170,1110,1050,1200,1180,0,0.0,0.0,0,0,0.0,0.024418622255325317,0.024418622255325317
Ross Barkley,MID,Chelsea,0,0,1,0,14.4,1,0,4.0,8.0,2019-08-11,57,0,0,0,0,0,422507,0,4,18.0,1,0,0,0,60,False,0,1,Chelsea,4,Man Utd,4,4,1240,1240,1250,1220,1230,1220,2,0.08609434962272644,0.024473881348967552,1,0,0.08609434962272644,0.11056823283433914,0.0
Olivier Giroud,FWD,Chelsea,0,0,2,0,0.6,2,0,0.0,0.0,2019-08-11,24,0,0,0,0,0,130453,0,4,0.0,1,0,0,0,70,False,0,1,Chelsea,4,Man Utd,4,4,1240,1240,1250,1220,1230,1220,0,0.0,0.0,0,0,0.0,0.11489501595497133,0.11489501595497133
Mateo Kovacic,MID,Chelsea,0,0,22,0,29.0,4,0,4.7,18.0,2019-08-11,90,0,0,0,0,0,49783,0,4,0.0,2,0,0,0,55,False,0,1,Chelsea,4,Man Utd,4,4,1240,1240,1250,1220,1230,1220,0,0.0,0.05613167583942413,2,0,0.0,0.13709776103496552,0.11489501595497133
Mason Mount,MID,Chelsea,0,0,15,0,51.8,4,0,9.7,25.0,2019-08-11,90,0,0,0,0,0,47474,0,4,20.0,2,0,0,0,60,False,0,1,Chelsea,4,Man Utd,4,4,1240,1240,1250,1220,1230,1220,2,0.04659486189484596,0.1820069253444672,4,0,0.04659486189484596,0.3726339936256409,0.3260391354560852
Danny Ings,FWD,Southampton,0,0,8,0,11.0,1,0,1.6,4.8,2019-08-10,65,0,0,0,0,0,130990,0,3,0.0,2,0,0,0,60,False,0,1,Southampton,3,Burnley,3,3,1050,1080,1080,1110,1040,1150,0,0.0,0.04112201184034348,1,0,0.0,0.04112201184034348,0.0
Jack Stephens,DEF,Southampton,0,0,10,0,0.1,2,0,1.3,10.6,2019-08-10,72,0,0,0,0,0,7817,0,3,2.0,1,0,0,0,45,False,0,1,Southampton,3,Burnley,3,3,1050,1080,1080,1110,1040,1150,0,0.0,0.0,0,0,0.0,0.5794821977615356,0.5794821977615356
