"player_name","kickoff_time","GW","season","total_points","automl"
"Mason Greenwood",1600473600000,2,2020,1,2.206704296266016
"Mason Mount",1600560000000,2,2020,2,3.0043301749171745
"Matej Vydra",1600560000000,2,2020,1,1.468249384094697
"Mateo Kovacic",1600560000000,2,2020,2,1.9878004655187131
"Mateusz Klich",1600473600000,2,2020,9,4.3929894989024625
"Matheus Pereira",1600473600000,2,2020,10,2.771369992312568
"Mathew Ryan",1600560000000,2,2020,6,4.2451639850854965
"Matt Doherty",1600560000000,2,2020,0,3.7272973708386212
"Matt Phillips",1600473600000,2,2020,1,0.9453278362365853
"Matt Targett",1600646400000,2,2020,5,4.375451916436373
"Matthew Cash",1600646400000,2,2020,5,3.266974208835124
"Michael Hector",1600473600000,2,2020,0,1.841934969519801
"Michael Keane",1600473600000,2,2020,7,3.963875530530091
"Michail Antonio",1600473600000,2,2020,6,4.141272642320246
"Michy Batshuayi",1600473600000,2,2020,1,1.4805308116789493
"Miguel Almirón",1600560000000,2,2020,1,2.0091109041467545
"Mohamed Salah",1600560000000,2,2020,3,6.530184161818657
"Moise Kean",1600473600000,2,2020,1,1.496346059129623
"Moussa Djenepo",1600560000000,2,2020,5,2.9596775432011566
"N'Golo Kanté",1600560000000,2,2020,2,2.5519045601185226
"Naby Keita",1600560000000,2,2020,3,3.991421817770842
"Nampalys Mendy",1600560000000,2,2020,1,2.397291806163483
"Nathan Aké",1600646400000,2,2020,2,3.25370908721564
"Nathan Tella",1600560000000,2,2020,1,1.277083050724752
"Neal Maupay",1600560000000,2,2020,16,4.232355836430289
"Neeskens Kebano",1600473600000,2,2020,1,1.2958965261192397
"Nick Pope",1600560000000,2,2020,1,4.411130526176512
"Nicolas Pépé",1600473600000,2,2020,1,1.9137442692010034
"Odion Ighalo",1600473600000,2,2020,1,1.7455630397595865
"Oliver Burke",1600646400000,2,2020,2,2.4681292561199584
"Oliver McBurnie",1600646400000,2,2020,1,2.311919274148523
"Ollie Watkins",1600646400000,2,2020,2,3.1839270089754517
"Oluwasemilogo Adesewo Ibidapo Ajayi",1600473600000,2,2020,0,1.9517231001461062
"Oriol Romeu Vidal",1600560000000,2,2020,0,2.193409465737304
"Pablo Fornals",1600473600000,2,2020,2,2.939858221329785
"Patrick Bamford",1600473600000,2,2020,14,4.624918361366685
"Paul Pogba",1600473600000,2,2020,2,4.414181190971831
