player_name,position,team,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home
Benjamin Chilwell,DEF,Chelsea,232,354,Arsenal,2,True,2021-05-12,0,1,35,90,0,0,0,1,0,0,0,0,0,0,0,10,4.6,6.3,8.0,1.9,59,50097,1204247,69873,19776,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Billy Gilmour,MID,Chelsea,124,354,Arsenal,1,True,2021-05-12,0,1,35,45,0,0,0,1,0,0,0,0,0,0,0,8,9.2,8.6,0.0,1.8,43,257,8202,461,204,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Callum Hudson-Odoi,MID,Chelsea,122,354,Arsenal,1,True,2021-05-12,0,1,35,45,0,0,0,0,0,0,0,0,0,0,0,4,15.2,32.9,9.0,5.7,57,-1424,32867,273,1697,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Christian Pulisic,MID,Chelsea,119,354,Arsenal,2,True,2021-05-12,0,1,35,90,0,0,0,1,0,0,0,0,0,0,0,10,9.2,29.4,52.0,9.1,83,-20588,262491,14981,35569,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
César Azpilicueta,DEF,Chelsea,102,354,Arsenal,2,True,2021-05-12,0,1,35,77,0,0,0,1,0,0,0,0,0,0,0,12,7.2,10.1,2.0,1.9,59,-63295,593719,8504,71799,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Edouard Mendy,GK,Chelsea,548,354,Arsenal,0,True,2021-05-12,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,6142,860733,34232,28090,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Emerson Palmieri dos Santos,DEF,Chelsea,111,354,Arsenal,0,True,2021-05-12,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-26,11433,72,98,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Faustino Anjorin,MID,Chelsea,605,354,Arsenal,0,True,2021-05-12,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,9,591,34,25,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Fikayo Tomori,DEF,Chelsea,121,354,Arsenal,0,True,2021-05-12,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-28,14714,0,28,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Hakim Ziyech,MID,Chelsea,114,354,Arsenal,1,True,2021-05-12,0,1,35,12,0,0,0,0,0,0,0,0,0,0,0,4,5.0,14.9,8.0,2.8,79,-3438,172066,2836,6274,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Jorge Luiz Frello Filho,MID,Chelsea,105,354,Arsenal,2,True,2021-05-12,0,1,35,90,0,0,0,1,0,0,0,0,0,0,0,14,9.2,29.8,2.0,4.1,47,-2088,389019,14395,16483,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Kai Havertz,MID,Chelsea,500,354,Arsenal,2,True,2021-05-12,0,1,35,64,0,0,0,1,0,0,0,0,0,0,0,-2,0.0,12.6,28.0,3.7,83,70390,343297,82776,12386,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Karlo Ziger,GK,Chelsea,593,354,Arsenal,0,True,2021-05-12,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-830,49764,213,1043,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Kepa Arrizabalaga,GK,Chelsea,112,354,Arsenal,2,True,2021-05-12,0,1,35,90,0,0,0,1,0,0,0,0,0,2,0,18,17.2,0.0,0.0,1.7,47,-727,46025,249,976,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Kurt Zouma,DEF,Chelsea,110,354,Arsenal,2,True,2021-05-12,0,1,35,90,0,0,0,1,0,0,0,0,0,0,0,14,11.2,16.1,50.0,7.7,53,-3288,678662,9424,12712,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Marcos Alonso,DEF,Chelsea,104,354,Arsenal,0,True,2021-05-12,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-29033,196250,954,29987,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
Mason Mount,MID,Chelsea,120,354,Arsenal,2,True,2021-05-12,0,1,35,90,0,0,0,1,0,0,0,0,0,0,0,12,17.0,63.9,64.0,14.5,73,15540,1666592,98998,83458,35,Arsenal,4,Chelsea,3,5,Chelsea,CHE,4,1300,1260,1310,1250,1280,1250
