,GW,player_name,total_points,was_home,team_h,team_h_difficulty,team_h_score,team_h_strength_attack,team_h_strength_defense,team_h_strength_overall,team_a,team_a_difficulty,team_a_score,team_h_strength_attack,team_h_strength_defense,team_h_strength_overall,position,goals_scored,goals_conceded,assists_x,clean_sheets,penalties_saved,penalties_missed,saves,own_goals,red_cards,yellow_cards,minutes,selected,value,bonus,bps,transfers_balance,transfers_in,transfers_out,influence,creativity,threat,ict_index,kickoff_time,shots,key_passes,xG,xA,npg,npxG,xGChain,xGBuildup
1403,1,Miguel Almirón,4,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],MID,0,0,1,0,0,0,0,0,0,0,5,62869,60,0,13,0,0,0,17.4,11.4,20.0,4.9,2020-09-12,1,1,0.1353103071451187,0.10354991257190704,0,0.1353103071451187,0.23886021971702576,0.10354991257190704
4638,1,Sadio Mané,2,True,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],MID,0,3,0,0,0,0,0,0,0,0,90,807314,120,0,14,0,0,0,13.2,45.5,75.0,13.4,2020-09-12,5,4,0.3236539959907532,0.3547976613044739,0,0.3236539959907532,0.678451657295227,0.1814809292554856
4637,1,Roberto Firmino,1,True,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],FWD,0,3,0,0,0,0,0,0,0,1,90,248434,95,0,10,0,0,0,5.8,7.2,38.0,5.1,2020-09-12,2,0,0.13016216456890106,0.0,0,0.13016216456890106,0.4138669669628143,0.2837047874927521
4636,1,Naby Keita,1,True,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],MID,0,2,0,0,0,0,0,0,0,0,57,66891,55,0,2,0,0,0,6.6,4.6,24.0,3.5,2020-09-12,1,0,0.09406596422195436,0.0,0,0.09406596422195436,0.38242650032043457,0.2883605360984802
4635,1,Mohamed Salah,20,True,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],MID,3,3,0,0,0,0,0,0,0,0,90,1883241,120,3,69,0,0,0,117.2,50.1,161.0,32.8,2020-09-12,9,4,1.939826726913452,0.23254287242889404,1,0.4174890816211701,0.7550051212310791,0.2254402041435241
4634,1,Joseph Gomez,1,True,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],DEF,0,3,0,0,0,0,0,0,0,0,90,292725,55,0,13,0,0,0,19.2,1.0,0.0,2.0,2020-09-12,0,0,0.0,0.0,0,0.0,0.2254402041435241,0.2254402041435241
4640,1,Virgil van Dijk,7,True,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],DEF,1,3,0,0,0,0,0,0,0,0,90,1528505,65,0,19,0,0,0,37.6,0.8,37.0,7.5,2020-09-12,2,0,0.43222299218177795,0.0,1,0.43222299218177795,0.2086174339056015,0.2086174339056015
4633,1,Jordan Henderson,2,True,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],MID,0,2,0,0,0,0,0,0,0,0,65,180668,55,0,19,0,0,0,14.0,2.0,7.0,2.3,2020-09-12,1,0,0.01907025277614593,0.0,0,0.01907025277614593,0.07987149059772491,0.06080123782157897
4630,1,Curtis Jones,1,True,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],MID,0,1,0,0,0,0,0,0,0,0,24,32021,45,0,2,0,0,0,2.4,13.3,2.0,1.8,2020-09-12,0,1,0.0,0.030657855793833733,0,0.0,0.1815091222524643,0.1508512794971466
4629,1,Andrew Robertson,4,True,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],DEF,0,3,1,0,0,0,0,0,0,0,90,766431,70,0,20,0,0,0,23.4,19.6,4.0,4.7,2020-09-12,0,1,0.0,0.41931298375129705,0,0.0,0.16465817391872406,0.16465817391872406
1402,1,Karl Darlow,7,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],GK,0,0,0,1,0,0,3,0,0,0,90,13715,50,0,26,0,0,0,27.0,0.0,0.0,2.7,2020-09-12,0,0,0.0,0.0,0,0.0,0.1353103071451187,0.1353103071451187
1401,1,Jonjo Shelvey,3,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],MID,0,0,0,1,0,0,0,0,0,0,90,20721,55,0,12,0,0,0,14.4,44.6,22.0,8.1,2020-09-12,3,3,0.20476658642292025,0.16121338307857513,0,0.20476658642292025,0.4116449952125549,0.214316874742508
1400,1,Jeff Hendrick,14,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],MID,1,0,1,1,0,0,0,0,0,0,90,6679,50,3,41,0,0,0,67.0,13.4,23.0,10.3,2020-09-12,1,1,0.10354991257190704,0.7870321273803711,1,0.10354991257190704,1.2004947662353516,0.30991265177726746
1399,1,Javier Manquillo,5,False,West Ham,2,0,[1140],[1260],[1200.],Newcastle,4,2,[1140],[1260],[1200.],DEF,0,0,0,1,0,0,0,0,0,1,90,21964,45,0,27,0,0,0,22.4,19.7,2.0,4.4,2020-09-12,0,1,0.0,0.03938620537519455,0,0.0,0.16930840909481049,0.12992221117019653
4632,1,Joel Matip,1,True,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],DEF,0,0,0,0,0,0,0,0,0,0,1,30541,55,0,2,0,0,0,0.0,0.0,0.0,0.0,2020-09-12,0,0,0.0,0.0,0,0.0,0.0,0.0
4215,1,Illan Meslier,1,False,Liverpool,3,4,[1190],[1300],[1245.],Leeds,3,3,[1190],[1300],[1245.],GK,0,4,0,0,0,0,3,0,0,0,90,55373,45,0,20,0,0,0,17.8,0.0,0.0,1.8,2020-09-12,0,0,0.0,0.0,0,0.0,0.05824599787592887,0.05824599787592887
5068,1,Marc Albrighton,1,False,West Bromwich Albion,4,0,[],[],[],Leicester,2,3,[],[],[],MID,0,0,0,0,0,0,0,0,0,0,23,12864,55,0,3,0,0,0,0.4,0.8,0.0,0.1,2020-09-13,0,0,0.0,0.0,0,0.0,0.0,0.0
10038,1,Willian Borges Da Silva,14,False,Fulham,3,0,[1150],[1040],[1095.],Arsenal,2,3,[1150],[1040],[1095.],MID,0,0,3,1,0,0,0,0,0,0,74,473242,80,2,35,0,0,0,38.6,38.0,38.0,11.5,2020-09-12,2,3,0.7844159603118896,0.6345871090888977,0,0.7844159603118896,0.999333381652832,0.2562137842178345
5563,1,Sam Johnstone,2,True,West Bromwich Albion,4,0,[],[],[],Leicester,2,3,[],[],[],GK,0,3,0,0,0,0,4,0,0,0,90,43295,45,0,16,0,0,0,31.2,0.0,0.0,3.1,2020-09-13,0,0,0.0,0.0,0,0.0,0.0,0.0
9866,1,Kepa Arrizabalaga,2,False,Brighton,4,1,[1150],[1100],[1125.],Chelsea,3,3,[1150],[1100],[1125.],GK,0,1,0,0,0,0,2,0,0,0,90,132136,50,0,12,0,0,0,10.4,0.0,0.0,1.0,2020-09-14,0,0,0.0,0.0,0,0.0,0.01976977661252021,0.01976977661252021
9865,1,Jorge Luiz Frello Filho,12,False,Brighton,4,1,[1150],[1100],[1125.],Chelsea,3,3,[1150],[1100],[1125.],MID,1,1,1,0,0,0,0,0,0,0,84,104796,50,2,43,0,0,0,60.8,23.2,17.0,10.1,2020-09-14,1,2,0.7611688375473022,0.029938191175460805,0,0.0,0.2664427757263184,0.2664427757263184
9540,1,Çaglar Söyüncü,6,False,West Bromwich Albion,4,0,[],[],[],Leicester,2,3,[],[],[],DEF,0,0,0,1,0,0,0,0,0,0,90,771267,55,0,29,0,0,0,15.6,1.4,6.0,2.3,2020-09-13,1,0,0.05372550338506698,0.0,0,0.05372550338506698,0.11876298487186432,0.11876298487186432
9563,1,Dara O'Shea,1,True,West Bromwich Albion,4,0,[],[],[],Leicester,2,3,[],[],[],DEF,0,3,0,0,0,0,0,0,0,0,90,19684,45,0,8,0,0,0,9.6,0.6,0.0,1.0,2020-09-13,0,0,0.0,0.0,0,0.0,0.1402267962694168,0.1402267962694168
