player_name,position_x,team,FPL_ID,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists_x,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,GW,team_a,team_a_difficulty,team_h,team_h_difficulty,id_x,name,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,date,id_y,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
Lewis Dunk,DEF,Brighton,62,32,Everton,0,False,2020-10-03,4,2,4,90,0,0,0,4,0,0,0,0,0,0,0,14,13.6,3.2,1.0,1.8,50,-55557,456061,6570,62127,4,Brighton,3,Everton,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.04791530966758728,90,DC,Everton,Brighton,4,2,2020-10-03,14468,2020,419532,0.0,0,0,0,0.04791530966758728,0.020070705562829968,0.020070705562829968
Neal Maupay,FWD,Brighton,68,32,Everton,6,False,2020-10-03,4,2,4,90,1,0,0,4,0,0,0,0,0,0,0,26,40.0,5.8,73.0,11.9,65,99742,281184,141065,41323,4,Brighton,3,Everton,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,1,3,0.8818138837814331,90,AMC,Everton,Brighton,4,2,2020-10-03,14468,2020,419539,0.0,0,0,1,0.8818138837814331,0.8818138837814331,0.0
Pascal Groß,MID,Brighton,57,32,Everton,1,False,2020-10-03,4,2,4,8,0,0,0,0,0,0,0,0,0,0,0,3,2.0,1.8,0.0,0.4,59,-1100,7779,243,1343,4,Brighton,3,Everton,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,6,Sub,Everton,Brighton,4,2,2020-10-03,14468,2020,419541,0.0,0,0,0,0.0,0.09824605286121367,0.09824605286121367
Steven Alzate,MID,Brighton,79,32,Everton,1,False,2020-10-03,4,2,4,81,0,0,0,4,0,0,0,1,0,0,0,6,10.0,17.0,0.0,2.7,45,24857,98255,40880,16023,4,Brighton,3,Everton,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,84,MC,Everton,Brighton,4,2,2020-10-03,14468,2020,419536,0.011203140020370485,0,1,0,0.0,0.08659472316503525,0.08659472316503525
Tariq Lamptey,DEF,Brighton,77,32,Everton,0,False,2020-10-03,4,2,4,45,0,0,0,2,0,0,0,0,0,0,0,9,8.0,15.1,0.0,2.3,46,224217,710031,255139,30922,4,Brighton,3,Everton,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,48,DMR,Everton,Brighton,4,2,2020-10-03,14468,2020,419534,0.055320873856544495,0,1,0,0.0,0.055320873856544495,0.0
Yves Bissouma,MID,Brighton,76,32,Everton,9,False,2020-10-03,4,2,4,90,1,0,0,4,0,0,0,0,0,0,2,33,47.4,8.3,15.0,7.1,45,-13257,233951,10162,23419,4,Brighton,3,Everton,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,1,2,0.02650794200599194,90,MC,Everton,Brighton,4,2,2020-10-03,14468,2020,419537,0.0,0,0,1,0.02650794200599194,0.046578649431467056,0.020070705562829968
Aaron Connolly,FWD,Brighton,78,40,Crystal Palace,4,False,2020-10-18,1,1,5,12,0,1,0,0,0,0,0,0,0,0,0,13,17.2,10.3,2.0,3.0,55,-8992,46774,5860,14852,5,Brighton,3,Crystal Palace,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,0,0.0,11,Sub,Crystal Palace,Brighton,1,1,2020-10-18,14476,2020,421927,0.052242077887058265,1,1,0,0.0,0.052242077887058265,0.0
Adam Lallana,MID,Brighton,54,40,Crystal Palace,2,False,2020-10-18,1,1,5,77,0,0,0,1,0,0,0,0,0,0,0,4,0.0,4.9,1.0,0.5,63,-6062,36915,1191,7253,5,Brighton,3,Crystal Palace,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.03250820934772492,79,AMC,Crystal Palace,Brighton,1,1,2020-10-18,14476,2020,421923,0.0,0,0,0,0.03250820934772492,0.1257341355085373,0.09322592616081238
Adam Webster,DEF,Brighton,66,40,Crystal Palace,2,False,2020-10-18,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,11,16.0,13.4,36.0,6.5,45,-12528,152098,6669,19197,5,Brighton,3,Crystal Palace,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.12498684972524644,90,DC,Crystal Palace,Brighton,1,1,2020-10-18,14476,2020,421917,0.02627316489815712,0,1,0,0.12498684972524644,0.3128358125686645,0.2865626513957977
Alexis Mac Allister,MID,Brighton,80,40,Crystal Palace,9,False,2020-10-18,1,1,5,12,1,0,0,0,0,0,0,0,0,0,3,22,36.2,0.5,7.0,4.4,53,-272,2952,84,356,5,Brighton,3,Crystal Palace,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,1,1,0.052242077887058265,11,Sub,Crystal Palace,Brighton,1,1,2020-10-18,14476,2020,421925,0.0,0,0,1,0.052242077887058265,0.052242077887058265,0.0
Ben White,DEF,Brighton,74,40,Crystal Palace,2,False,2020-10-18,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,10,14.0,3.6,6.0,2.4,45,-6696,101660,6049,12745,5,Brighton,3,Crystal Palace,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.04942066967487335,90,MC,Crystal Palace,Brighton,1,1,2020-10-18,14476,2020,421921,0.0,0,0,0,0.04942066967487335,0.350483238697052,0.30106255412101746
Dan Burn,DEF,Brighton,61,40,Crystal Palace,2,False,2020-10-18,1,1,5,81,0,0,0,1,0,0,0,0,0,0,0,10,5.2,2.7,8.0,1.6,44,-3940,33384,663,4603,5,Brighton,3,Crystal Palace,3,3,Brighton,BHA,3,1190,1150,1130,1100,1130,1130,0,1,0.07855723053216934,83,DC,Crystal Palace,Brighton,1,1,2020-10-18,14476,2020,421915,0.0,0,0,0,0.07855723053216934,0.2839949429035187,0.2839949429035187
