,player_name,GW,kickoff_time,total_points,goals_scored,goals_conceded,assists,clean_sheets,penalties_saved,penalties_missed,saves,own_goals,red_cards,yellow_cards,minutes,value,bonus,bps,transfers_in,influence,creativity,threat,ict_index,position_DEF,position_FWD,position_GK,position_MID,team_h_Arsenal,team_h_Manchester City,team_h_Newcastle
139,Victor Wanyama,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
140,Troy Parrott,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
141,Toby Alderweireld,1,2019-08-10,2,0,1,0,0,0,0,0,0,0,0,90,55,0,17,0,17.6,26.5,8.0,5.2,1,0,0,0,0,0,0
142,Tanguy Ndombele,1,2019-08-10,8,1,1,0,0,0,0,0,0,0,0,90,60,1,26,0,41.2,20.3,14.0,7.6,0,0,0,1,0,0,0
143,Bernardo Mota Veiga de Carvalho e Silva,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0
144,Benjamin Mendy,1,2019-08-10,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0
145,Aymeric Laporte,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,0,90,65,0,26,0,19.2,0.9,0.0,2.0,1,0,0,0,0,0,0
146,Ainsley Maitland-Niles,1,2019-08-11,12,0,0,1,1,0,0,0,0,0,0,90,50,3,38,0,38.4,12.3,0.0,5.1,1,0,0,0,0,0,1
147,Sead Kolasinac,1,2019-08-11,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1
148,Rob Holding,1,2019-08-11,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1
149,Reiss Nelson,1,2019-08-11,2,0,0,0,1,0,0,0,0,0,1,70,55,0,10,0,11.2,28.8,4.0,4.4,0,0,0,1,0,0,1
150,Pierre-Emerick Aubameyang,1,2019-08-11,6,1,0,0,1,0,0,0,0,0,0,90,110,0,25,0,37.4,6.5,106.0,15.0,0,1,0,0,0,0,1
151,Nicolas Pépé,1,2019-08-11,1,0,0,0,0,0,0,0,0,0,0,19,95,0,2,0,0.2,1.6,0.0,0.2,0,0,0,1,0,0,1
152,Nacho Monreal,1,2019-08-11,7,0,0,0,1,0,0,0,0,0,0,90,50,1,27,0,14.0,15.6,4.0,3.4,1,0,0,0,0,0,1
153,Mohamed Elneny,1,2019-08-11,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1
154,Mesut Özil,1,2019-08-11,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1
155,Matteo Guendouzi,1,2019-08-11,3,0,0,0,1,0,0,0,0,0,0,90,45,0,15,0,21.2,14.4,0.0,3.6,0,0,0,1,0,0,1
156,Lucas Torreira,1,2019-08-11,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1
157,Laurent Koscielny,1,2019-08-11,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1
158,Konstantinos Mavropanos,1,2019-08-11,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1
