,player_name,GW,kickoff_time,total_points,goals_scored,goals_conceded,assists,clean_sheets,penalties_saved,saves,own_goals,red_cards,yellow_cards,minutes,value,bonus,bps,influence,creativity,threat,ict_index,key_passes,xG,xA,npg,npxG,xGChain,xGBuildup,position_DEF,position_FWD,position_MID,team_h_Arsenal,team_h_Manchester City,team_h_Newcastle
103,Matthew Lowton,1,2019-08-10,6,0,0,0,1,0,0,0,0,0,90,45,0,23,14.2,15.3,2.0,3.2,1,0.0,0.023489056155085564,0,0.0,0.4876362383365631,0.4641471803188324,1,0,0,0,0,0
104,Nick Pope,1,2019-08-10,8,0,0,0,1,0,3,0,0,0,90,45,1,28,25.6,10.0,0.0,3.6,1,0.0,0.02326565608382225,0,0.0,0.02326565608382225,0.0,0,0,0,0,0,0
105,Richarlison de Andrade,1,2019-08-10,3,0,0,0,1,0,0,0,0,0,90,80,0,7,12.2,20.3,32.0,6.5,1,0.1524806022644043,0.02400923706591129,0,0.1524806022644043,0.2889896631240845,0.17980079352855682,0,0,1,0,0,0
106,Maximillian Aarons,1,2019-08-09,0,0,4,0,0,0,0,0,0,0,90,45,0,16,25.8,1.4,0.0,2.7,0,0.0,0.0,0,0.0,0.4084494411945343,0.4084494411945343,1,0,0,0,0,0
107,Ben Godfrey,1,2019-08-09,0,0,4,0,0,0,0,0,0,0,90,45,0,18,23.8,0.1,7.0,3.1,0,0.008998467586934565,0.0,0,0.008998467586934565,0.06399573385715485,0.054997265338897705,1,0,0,0,0,0
108,Emiliano Buendía,1,2019-08-09,4,0,4,1,0,0,0,0,0,1,90,60,0,16,34.2,40.5,24.0,9.9,3,0.07999949902296066,0.3885958194732666,0,0.07999949902296066,0.4622898697853088,0.05384041741490364,0,0,1,0,0,0
109,Grant Hanley,1,2019-08-09,-2,0,4,0,0,0,0,1,0,0,90,40,0,2,8.6,0.0,0.0,0.9,0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,0,0,0
110,Jamal Lewis,1,2019-08-09,0,0,4,0,0,0,0,0,0,0,90,45,0,15,24.2,25.1,0.0,4.9,2,0.0,0.1075787916779518,0,0.0,0.2609913647174835,0.16241103410720825,1,0,0,0,0,0
111,Josip Drmic,1,2019-08-09,1,0,0,0,0,0,0,0,0,0,7,55,0,3,0.0,0.3,2.0,0.2,0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0,0
112,Kenny McLean,1,2019-08-09,2,0,4,0,0,0,0,0,0,0,90,50,0,12,11.4,0.6,0.0,1.2,0,0.0,0.0,0,0.0,0.3670538365840912,0.3670538365840912,0,0,1,0,0,0
113,Marco Stiepermann,1,2019-08-09,1,0,4,0,0,0,0,0,0,0,57,55,0,1,1.6,0.4,19.0,2.1,0,0.1699429154396057,0.0,0,0.1699429154396057,0.1699429154396057,0.0,0,0,1,0,0,0
114,Ashley Westwood,1,2019-08-10,3,0,0,0,1,0,0,0,0,0,90,55,0,7,6.4,11.5,0.0,1.8,1,0.0,0.0150736877694726,0,0.0,0.4792208671569824,0.4641471803188324,0,0,1,0,0,0
